OMNIvalue,k
491,74.14
350,72.53
264,79.71
539,71.92
660,70.14
502,77.31
77,84.79
161,78.36
343,76.21
343,75.07
210,81.12
85,71.73
550,71.35
272,73.04
582,70.43
780,63.18
397,75.81
269,78.02
148,77.54
62,83.39
327,79.99
295,76.77
308,77.76
518,76.14
340,73.06
291,71.89
346,73.78
357,74.8
315,75.08
367,74.4
448,71.57
482,76.76
375,72.19
343,77.79
458,67.74
465,79.53
306,75.53
157,70.45
246,70.59
199,74.04
104,75.63
174,70.45
708,74.85
516,74.81
114,70.66
69,75.31
275,75.02
431,73.97
313,73.21
326,76.08
502,76.09
415,72.67
261,70.87
113,83.05
250,68.44
275,83.65
179,71.52
37,75.53
80,79.41
378,75.27
269,75.93
65,73.59
107,74.95
83,67.56
67,72.01
48,76.54
50,76.4
145,76.75
74,69.97
182,81.75
246,71.12
349,72.91
519,73.27
504,76.42
598,71.89
520,69.52
494,70.2
413,69.94
206,71.49
320,70.75
566,67.62
376,75.77
92,72.46
218,68.7
74,75.24
85,76.13
76,70.26
143,78.27
467,68.24
224,77.59
112,71.77
154,74.34
267,73.7
127,74.0
147,73.43
84,68.44
67,79.34
58,69.51
53,77.22
47,72.28
61,78.82
90,71.23
395,75.05
435,74.95
237,77.11
116,75.84
107,76.59
56,75.11
77,72.36
153,71.03
130,75.82
48,75.6
35,84.76
42,76.76
30,85.07
37,83.22
127,68.15
85,78.77
72,76.09
111,68.88
170,71.17
372,73.67
365,74.01
188,73.73
168,70.33
477,71.71
278,75.06
81,74.42
93,75.66
44,79.64
70,78.82
185,73.6
257,77.68
133,76.76
72,77.48
89,70.17
231,73.82
211,73.83
111,70.6
84,70.35
66,72.5
44,75.34
41,75.7
76,74.99
127,72.43
46,69.34
41,76.67
36,81.13
263,74.7
214,71.48
103,69.53
55,83.39
26,83.6
29,86.38
37,75.87
60,69.07
80,80.73
192,68.28
272,76.02
133,72.81
41,73.62
30,74.34
29,77.59
49,74.91
56,73.32
66,73.56
53,75.36
51,75.36
110,77.59
169,76.34
252,73.84
311,71.66
175,73.47
69,81.43
44,73.78
90,83.42
126,74.4
116,76.49
96,74.04
60,74.17
62,70.34
61,77.78
53,73.94
48,69.19
33,69.58
32,73.73
92,75.22
43,80.75
41,73.52
40,83.64
39,72.72
31,84.05
33,79.6
52,73.03
38,73.97
40,79.74
41,70.65
38,72.19
41,74.17
35,73.01
33,71.35
102,74.94
31,75.3
52,74.58
29,77.26
53,70.21
170,73.44
118,75.23
92,75.39
55,82.37
49,76.54
49,84.54
61,78.78
56,71.24
46,76.32
27,73.29
18,70.64
20,75.04
20,79.83
33,81.06
34,80.99
33,84.01
37,77.0
40,89.77
78,79.13
201,77.86
186,71.85
82,75.5
186,72.78
172,74.22
57,70.35
42,72.23
276,69.21
111,73.73
40,72.76
46,77.21
35,79.58
54,80.08
75,79.41
78,67.07
130,78.91
69,80.96
93,76.1
85,79.48
77,77.56
73,80.59
44,72.15
51,70.23
53,75.06
149,71.03
117,77.38
199,75.65
81,80.78
68,72.37
69,87.65
73,87.83
271,87.42
286,73.16
108,85.38
84,85.02
222,79.77
94,70.46
76,77.89
250,74.54
387,76.15
449,71.7
305,74.35
203,76.83
182,77.96
136,73.46
129,79.55
251,73.7
306,78.01
162,74.77
227,70.14
133,77.44
209,78.18
176,77.12
359,73.4
78,74.63
54,70.55
36,75.11
46,72.03
232,74.48
67,81.06
34,73.98
86,70.9
197,73.33
327,68.26
559,71.81
415,66.37
219,70.04
67,67.43
72,72.57
150,74.01
230,70.63
404,72.88
172,72.04
84,75.14
192,75.61
166,78.28
80,71.65
60,76.74
85,72.55
162,75.5
198,75.4
105,72.56
64,72.5
158,73.32
159,74.13
74,77.25
96,73.01
123,75.43
99,73.2
133,71.85
205,72.43
225,76.32
35,72.67
48,70.89
38,71.12
42,79.72
45,76.78
117,72.1
92,79.36
111,75.91
62,74.16
70,68.91
182,71.62
83,77.84
39,69.96
29,73.39
34,71.49
40,76.78
36,69.76
51,78.09
68,79.44
52,78.0
40,81.56
45,71.98
48,73.49
61,81.21
57,72.5
66,81.48
104,73.81
232,76.95
208,72.5
100,72.19
80,73.85
542,69.73
197,73.49
125,76.37
158,72.81
75,75.14
100,73.39
52,75.79
224,79.44
677,70.16
359,79.41
339,72.45
363,77.27
560,68.87
741,73.58
895,71.12
539,71.72
154,81.55
562,78.35
322,75.7
183,69.14
722,71.51
950,74.03
770,73.49
693,70.37
672,73.33
580,72.65
683,77.34
575,75.61
492,74.99
324,76.23
608,76.48
720,74.86
380,71.41
627,73.86
660,78.68
469,75.7
332,77.91
110,75.11
89,70.4
341,68.34
544,70.93
726,75.07
714,71.83
601,73.08
521,74.18
291,78.27
422,73.89
275,74.53
334,74.1
216,76.59
210,75.22
265,78.67
144,73.45
104,70.74
84,68.65
92,79.39
261,75.99
341,74.99
207,72.59
133,73.78
47,75.72
167,75.51
381,69.67
285,75.3
242,76.82
340,76.22
189,78.48
488,69.73
644,69.98
189,81.54
185,74.47
320,79.87
338,72.21
243,73.9
105,75.14
90,73.73
72,78.67
174,72.58
241,73.5
205,74.51
300,70.19
557,70.72
274,75.04
315,74.9
141,72.09
531,71.8
547,73.69
525,76.09
352,81.69
183,76.61
189,73.47
247,78.47
452,74.43
521,73.02
1027,68.97
663,72.46
546,73.07
239,72.71
242,75.14
505,74.7
252,74.84
113,78.25
132,76.85
120,80.05
136,80.12
260,72.74
419,78.7
209,72.57
101,78.46
153,69.82
144,75.27
63,75.26
54,73.22
112,72.87
171,73.19
45,73.34
166,76.28
387,72.36
244,72.52
166,73.11
273,74.75
135,78.05
69,75.18
52,84.75
275,73.81
109,69.39
103,74.89
44,80.75
36,77.73
36,75.47
46,68.81
38,70.1
22,75.48
29,75.07
32,71.61
29,75.66
38,76.51
43,78.52
43,81.77
42,82.02
65,70.65
58,79.72
296,75.52
134,78.28
77,70.62
160,69.52
260,73.57
403,70.81
187,72.86
57,70.55
149,75.03
257,75.88
271,77.01
367,70.84
220,75.47
155,74.72
189,75.15
130,75.79
395,71.55
312,73.69
204,72.16
131,70.06
93,77.21
81,71.79
82,76.09
32,75.09
246,75.15
193,74.25
82,74.32
72,72.02
117,79.54
192,71.31
104,75.78
105,86.49
200,71.15
593,78.82
739,72.42
361,65.98
147,70.96
447,75.89
778,72.41
70,67.32
265,75.16
503,71.99
730,74.65
695,69.34
470,71.8
220,72.39
206,75.22
60,70.09
296,68.21
242,67.56
197,77.76
330,71.62
491,73.64
541,73.05
381,75.03
362,71.03
219,72.89
100,72.02
79,71.83
38,72.43
32,69.62
34,73.46
48,72.78
57,68.8
78,69.84
199,73.94
313,76.9
216,74.56
127,78.71
127,82.96
96,80.21
91,76.87
103,71.86
122,71.06
107,76.52
263,71.83
175,69.24
172,69.29
80,75.56
39,75.0
33,74.46
35,70.42
42,76.73
45,76.04
48,78.27
50,81.48
53,79.32
42,75.37
36,86.06
38,88.29
34,73.36
40,81.48
63,71.66
109,76.62
217,71.41
81,74.5
45,69.79
64,73.69
69,78.13
52,69.13
57,74.24
64,74.99
281,74.53
580,72.56
498,71.2
367,75.05
346,72.19
372,72.02
535,67.22
487,74.62
467,65.95
340,73.69
242,76.26
245,69.94
263,79.95
294,69.09
178,74.21
149,79.52
286,69.84
401,76.31
603,69.25
529,70.84
187,73.59
131,73.4
287,72.94
202,72.77
59,75.1
68,76.33
55,75.86
136,79.61
281,76.24
305,79.58
200,70.37
281,74.76
255,78.15
90,77.2
54,82.24
47,86.47
129,74.07
226,78.66
69,71.06
61,72.25
204,70.53
75,71.94
50,74.89
39,73.44
29,72.34
56,74.88
57,71.9
105,71.84
143,71.93
44,80.14
53,71.5
42,70.47
49,79.02
47,80.54
58,74.39
61,73.8
54,70.92
93,73.53
239,73.11
435,74.5
373,71.58
235,73.05
189,74.71
130,73.83
94,78.43
92,74.31
55,81.0
100,71.54
172,73.38
171,74.34
145,73.01
132,74.54
76,74.32
63,73.73
181,74.14
304,73.72
194,73.38
76,73.41
68,75.08
119,72.29
180,71.88
341,70.55
112,75.52
68,72.06
78,70.97
113,71.04
163,76.17
144,76.57
67,73.61
73,80.0
104,75.67
165,72.16
162,73.09
306,76.17
55,76.41
43,79.41
28,73.45
44,69.89
33,70.02
27,75.88
28,70.15
50,74.56
128,73.35
196,74.99
67,76.65
54,76.71
39,74.16
35,74.96
256,72.88
137,71.86
185,74.38
138,73.1
448,70.68
210,79.72
62,83.46
41,80.77
75,81.03
214,80.59
34,82.82
31,80.55
31,76.47
35,75.56
103,72.05
97,74.14
185,73.32
276,74.45
75,73.73
113,73.8
252,79.12
81,81.16
154,78.42
266,73.88
364,70.04
368,75.04
227,77.68
282,78.21
554,70.25
79,75.5
584,75.4
318,70.2
576,72.7
706,73.72
417,73.26
329,75.83
129,80.27
91,83.24
85,82.31
139,83.39
104,81.19
27,83.31
37,78.43
224,78.53
78,74.19
40,71.53
51,77.77
49,75.66
43,68.16
81,71.61
226,75.32
212,76.29
227,76.37
99,73.41
176,69.97
349,73.54
47,76.12
51,74.4
58,73.31
51,79.74
59,69.77
44,70.55
221,68.73
138,75.93
98,70.81
103,75.05
158,75.05
128,73.06
79,76.78
70,72.75
152,71.1
61,77.65
31,75.25
43,83.01
149,70.53
145,74.76
95,71.02
74,69.79
120,71.2
95,71.89
60,73.36
44,74.03
74,74.01
80,72.68
136,72.87
120,74.82
90,73.18
114,74.97
80,78.95
71,78.77
53,73.91
67,82.24
35,78.94
27,71.4
28,75.48
31,82.83
24,72.21
31,72.89
30,77.66
33,76.26
38,70.26
44,71.12
44,70.42
36,71.34
32,74.42
29,72.48
32,73.76
14,73.46
28,80.05
23,75.95
29,73.73
34,78.33
35,71.79
45,69.99
46,72.36
42,74.33
40,74.34
40,74.96
37,75.44
44,73.7
50,76.44
24,79.09
20,72.58
23,73.68
22,73.71
28,74.86
24,81.98
24,80.08
28,83.35
28,79.56
41,76.27
39,72.22
46,75.2
47,74.38
45,71.18
43,74.98
44,73.95
45,75.3
43,76.29
33,69.97
30,78.02
27,82.39
29,75.27
30,84.91
27,80.58
17,72.54
15,84.36
24,74.29
163,72.05
345,68.29
390,73.32
84,75.75
52,73.81
67,73.9
231,69.16
355,75.74
118,72.34
49,75.06
38,75.38
66,75.16
177,70.72
166,74.48
33,80.58
34,86.28
31,82.36
216,68.44
424,74.37
351,73.56
156,74.1
118,81.41
68,74.12
88,79.57
138,87.01
65,75.64
76,70.45
263,68.84
496,73.2
489,72.41
301,74.82
119,71.81
125,72.29
228,75.02
215,76.15
242,75.61
475,73.81
424,71.26
323,77.9
194,71.3
159,78.62
229,73.15
360,71.23
80,75.73
147,80.46
218,70.69
113,73.91
208,72.97
447,70.45
263,75.3
51,72.08
104,75.58
230,70.35
272,70.2
382,71.46
351,76.71
203,74.31
145,82.38
117,79.44
165,76.27
166,69.52
260,73.35
296,74.26
350,69.28
316,72.7
361,71.44
443,72.16
456,70.52
466,72.25
436,73.96
269,75.47
438,70.35
403,73.85
245,71.17
250,70.56
403,73.2
299,73.8
195,76.7
244,77.89
282,82.89
247,75.84
420,74.02
308,77.44
173,80.84
276,75.71
414,69.75
359,72.54
405,73.27
67,74.39
63,73.26
60,74.94
52,72.87
39,72.68
37,73.61
74,76.18
39,74.43
24,78.55
55,78.63
20,74.67
16,82.45
35,77.78
20,85.08
37,72.07
28,78.56
35,75.46
71,73.68
54,73.05
70,68.17
59,73.83
33,71.51
40,75.16
50,74.39
70,74.36
27,79.38
24,80.13
42,80.23
37,78.61
39,83.29
44,74.76
69,79.91
45,75.89
31,73.43
42,75.55
45,75.0
36,69.81
30,75.4
33,76.39
43,78.36
98,71.48
51,78.52
89,69.7
497,71.76
451,72.95
602,71.46
499,68.76
627,71.27
694,73.42
249,70.67
451,75.3
416,72.08
120,72.8
63,70.64
199,74.43
347,73.95
146,71.01
106,75.95
112,75.59
97,86.52
202,75.85
128,71.96
164,81.28
425,70.38
555,74.41
485,78.76
706,73.25
607,71.27
604,71.43
354,73.66
569,74.94
445,72.67
269,70.52
344,72.17
249,68.83
262,75.34
290,73.86
328,75.79
58,76.1
75,70.1
246,78.2
240,76.17
147,72.74
237,72.84
393,74.44
406,73.17
388,75.07
257,70.89
746,76.0
473,68.89
484,76.26
181,75.18
52,73.73
94,77.22
118,75.67
202,73.42
341,76.55
404,73.36
270,74.48
207,75.19
151,68.03
82,74.15
56,82.16
51,72.87
48,77.23
39,76.22
35,70.97
37,79.29
41,72.4
42,76.29
61,78.24
106,77.06
239,74.9
61,71.68
66,74.48
55,74.99
58,75.52
118,74.93
70,71.87
51,75.27
41,77.47
91,77.2
112,71.19
41,76.11
173,75.08
104,71.33
71,71.93
39,79.44
28,69.26
41,70.04
35,77.62
36,73.12
27,68.84
31,74.6
36,76.17
39,75.32
42,75.8
55,76.35
68,71.85
92,69.43
345,76.71
357,70.16
326,73.35
115,73.03
65,73.32
32,84.19
59,72.26
162,79.15
80,74.39
89,70.78
249,71.21
85,73.57
61,72.33
118,72.35
117,72.43
47,71.05
44,74.71
84,75.21
104,71.24
49,74.48
30,76.65
25,80.85
23,71.53
21,82.0
21,73.43
17,82.42
16,80.48
20,75.27
22,78.86
23,79.13
25,78.13
27,75.43
43,73.25
38,71.5
36,71.95
43,70.16
88,71.0
160,73.79
32,75.84
45,75.42
48,71.47
28,72.69
29,73.37
29,73.65
23,81.51
25,75.69
58,72.42
282,74.68
171,74.27
192,72.49
185,69.88
249,70.31
33,75.41
29,75.25
25,70.05
22,73.44
35,77.22
29,74.62
33,78.73
36,72.43
29,78.66
26,74.21
29,73.74
171,78.33
189,70.43
65,72.15
34,71.91
33,74.92
35,72.73
83,70.12
143,71.25
193,73.27
165,73.27
87,76.03
42,75.15
235,74.45
250,73.83
78,77.8
29,75.68
62,84.19
106,74.82
299,71.27
346,74.25
222,72.31
97,70.42
77,70.78
39,74.16
29,75.36
28,78.42
256,76.34
266,75.62
198,80.51
127,76.21
209,76.02
121,77.66
47,79.88
64,76.61
59,80.87
206,72.47
200,73.91
330,72.12
580,70.9
1160,72.38
1002,71.38
588,66.42
239,75.14
210,76.63
266,74.84
318,70.15
352,75.89
253,84.53
127,79.61
122,72.82
68,81.85
65,83.01
50,78.55
42,71.06
136,68.33
297,76.28
380,75.08
216,75.57
120,75.62
72,76.66
49,77.45
86,74.84
55,77.33
53,79.61
44,74.59
62,71.33
62,77.19
47,77.62
34,73.43
40,72.43
65,71.06
83,77.06
42,70.92
81,74.97
132,75.44
102,74.96
109,76.5
33,81.2
36,77.83
94,81.78
117,73.37
106,77.03
401,70.25
683,76.72
90,70.64
140,74.99
134,70.39
105,74.97
156,74.97
171,76.6
148,75.49
84,74.42
100,74.78
124,80.17
85,78.38
59,77.51
71,79.13
85,71.75
59,74.07
55,77.87
67,68.17
196,75.66
126,73.86
50,72.14
41,73.34
42,71.31
41,77.43
44,74.13
39,76.52
39,76.75
33,80.3
35,74.99
22,75.76
36,73.98
48,74.95
77,76.19
46,75.73
70,73.38
105,73.78
44,75.16
42,74.05
144,76.39
296,72.3
148,75.07
55,75.1
26,75.9
66,75.71
120,72.98
83,77.9
46,77.8
46,76.79
57,73.79
55,81.13
49,74.12
59,72.9
45,78.95
32,84.63
30,80.28
29,73.25
29,76.89
62,72.58
144,69.52
219,71.23
349,73.14
103,72.75
57,74.72
57,70.05
150,75.64
322,76.79
360,75.53
327,73.88
469,71.68
281,72.45
75,83.17
62,84.06
85,86.42
133,72.7
203,78.25
357,71.42
356,73.15
317,73.74
372,71.19
392,75.74
295,71.06
97,74.98
68,75.94
89,81.73
126,78.27
43,82.17
35,83.11
53,77.92
65,84.34
76,77.08
266,74.49
231,73.14
157,72.01
232,72.86
234,74.2
139,74.54
71,73.52
46,72.65
89,76.71
101,76.12
67,73.02
74,81.06
111,80.99
84,75.6
62,82.82
37,75.9
33,85.31
36,85.05
40,75.28
39,74.43
47,75.34
67,70.73
62,73.02
28,72.19
24,74.15
21,78.1
22,77.69
30,72.63
98,72.73
250,71.06
211,78.14
228,74.37
97,75.49
107,75.07
276,71.47
272,77.88
108,74.53
135,70.96
144,75.32
175,73.71
140,75.52
152,72.03
82,74.75
106,79.3
77,78.82
48,71.39
112,80.15
62,78.19
90,74.34
134,73.16
206,73.06
255,70.33
262,70.85
120,71.98
37,75.54
42,73.57
41,69.65
45,74.32
46,76.33
48,80.65
43,70.39
34,79.32
35,72.77
26,70.57
18,79.3
18,78.74
26,77.01
31,82.41
33,77.14
33,69.24
33,74.68
36,73.09
33,70.11
37,73.96
43,76.15
32,77.07
34,73.4
40,74.23
28,72.99
27,73.67
22,73.93
29,72.27
22,75.62
20,70.78
31,75.75
30,72.1
21,75.14
33,75.87
36,77.42
32,71.86
27,80.88
18,75.62
20,74.47
41,73.25
32,74.65
37,72.26
45,75.49
375,76.4
252,74.31
109,75.25
118,70.6
249,74.11
245,76.42
410,73.99
406,73.07
425,72.9
362,80.21
390,76.05
200,77.01
335,78.11
584,72.77
174,84.12
149,76.99
109,76.07
74,71.47
94,72.83
65,77.02
78,74.87
82,75.35
54,75.02
42,75.52
106,75.97
158,74.98
119,78.74
291,70.73
130,81.25
76,80.78
41,86.82
68,77.97
42,75.49
51,74.33
34,75.12
34,77.16
78,70.72
318,73.42
241,73.07
82,71.99
45,70.06
37,74.65
23,76.67
28,75.21
50,68.93
51,71.16
95,77.81
150,75.93
134,80.01
122,77.16
45,75.24
43,73.49
39,76.3
34,72.65
78,72.97
262,75.64
283,74.26
91,74.98
43,75.05
54,73.08
56,72.59
49,76.04
90,75.0
126,70.68
155,75.13
119,73.17
90,72.25
29,77.57
59,80.07
144,71.29
219,72.33
168,74.66
198,71.99
219,79.53
128,77.23
207,74.52
197,72.17
43,75.11
61,75.12
44,73.15
37,78.22
45,77.31
114,68.88
124,71.07
74,77.5
52,73.28
29,82.0
35,75.35
39,75.61
41,81.96
34,79.36
37,70.09
61,71.77
45,71.98
60,70.97
223,73.42
223,76.57
226,74.61
50,74.75
47,75.65
59,75.8
62,79.02
84,76.23
60,80.36
51,73.49
34,79.45
42,78.24
28,76.55
13,80.39
17,89.69
46,84.82
170,77.46
326,73.49
335,75.05
163,72.41
49,72.59
94,68.7
110,72.11
35,74.96
28,75.38
25,75.7
27,74.97
20,77.15
25,76.23
26,70.67
45,75.42
37,75.18
23,78.04
18,89.25
20,83.72
31,78.49
64,72.08
53,80.36
44,69.46
34,74.26
28,75.87
44,71.86
69,76.42
111,71.85
120,75.24
112,72.95
239,71.94
139,74.56
40,79.21
34,81.55
137,70.65
497,77.07
439,69.69
370,75.2
407,71.07
85,71.7
100,74.46
57,73.21
32,80.2
48,77.14
27,72.68
42,76.44
46,72.13
86,74.73
93,76.07
23,77.73
18,75.07
16,79.38
15,77.51
21,71.91
22,76.35
21,74.32
31,72.15
35,74.96
32,75.13
42,73.81
34,75.79
34,80.75
41,82.13
40,79.86
35,81.1
45,71.61
62,85.75
31,81.48
17,77.88
40,81.07
37,71.27
52,74.96
25,75.41
25,74.79
26,76.76
21,75.23
31,76.25
28,85.57
28,81.4
33,85.24
11,82.57
11,82.21
22,85.82
61,76.27
187,72.97
228,80.27
111,73.09
74,80.85
33,77.42
33,75.55
30,77.74
35,74.84
22,72.46
24,76.09
25,74.53
58,78.05
230,70.55
65,80.97
34,79.54
21,81.44
172,72.77
207,75.22
101,75.44
219,73.52
124,78.37
205,77.15
360,73.62
422,70.82
616,72.58
763,70.31
560,72.13
666,70.51
519,71.64
324,69.34
400,70.61
306,71.19
186,72.57
209,73.48
290,72.71
138,71.77
57,76.62
34,80.25
79,80.2
312,74.51
239,73.75
67,83.31
42,75.68
116,76.99
347,70.7
489,68.64
306,71.48
98,74.81
156,76.47
113,74.9
82,75.73
129,75.51
115,74.28
72,77.65
66,71.39
66,77.29
60,72.94
137,70.5
134,71.31
87,79.64
82,73.22
23,77.85
29,82.38
34,71.34
45,84.68
38,87.91
37,73.93
27,89.96
22,75.14
17,89.67
20,77.02
17,79.44
29,83.77
16,70.6
52,79.87
182,73.71
19,72.48
51,72.07
176,73.7
127,74.02
110,72.66
95,76.07
167,71.18
124,74.51
49,78.36
39,73.18
27,71.57
29,74.54
20,75.02
20,82.83
33,78.99
45,74.85
29,82.05
41,76.32
34,74.5
62,80.69
104,71.57
75,77.38
42,79.3
32,73.65
51,72.53
34,82.25
53,71.69
63,72.95
48,72.71
39,83.91
23,75.19
26,77.36
28,72.53
33,69.49
49,75.63
37,74.84
51,77.94
36,69.06
49,76.6
52,79.32
35,81.21
35,75.63
29,82.79
15,77.37
21,80.1
25,78.99
28,81.32
58,77.61
80,71.71
99,73.41
97,71.4
50,70.5
51,76.76
171,76.49
186,72.14
61,73.5
40,73.38
39,74.72
33,73.59
53,75.87
84,75.93
187,73.71
155,79.2
82,79.61
68,75.83
138,81.57
75,89.79
94,85.9
118,78.77
118,83.65
267,71.94
124,72.66
56,71.8
49,76.03
67,72.47
68,75.08
61,74.58
63,77.24
36,83.03
332,72.54
471,70.49
267,73.98
147,74.21
158,73.82
159,73.81
161,73.57
102,73.02
117,76.47
133,73.51
131,73.68
120,75.07
78,70.36
86,70.81
32,75.32
20,72.84
15,74.2
14,76.71
42,72.72
152,76.63
380,72.29
105,77.0
45,85.68
85,75.28
202,76.25
139,74.65
164,73.51
125,78.45
288,77.56
434,70.96
280,73.21
211,72.2
294,71.88
347,71.13
413,72.75
229,74.54
210,70.14
278,77.8
149,72.07
75,78.64
148,75.78
208,71.66
274,71.2
214,73.33
246,73.9
226,71.45
183,73.48
469,69.69
338,74.59
384,75.72
591,69.29
457,76.8
205,76.31
329,73.73
390,73.39
91,69.34
39,74.11
53,82.08
41,74.19
40,75.17
57,74.56
62,80.06
212,71.11
194,73.0
185,74.0
149,78.71
120,75.6
132,75.49
264,69.22
229,71.2
236,76.48
222,74.28
92,78.26
60,71.95
66,78.6
114,73.29
34,73.06
79,72.06
158,70.32
150,71.98
40,79.7
63,73.25
158,73.1
141,75.69
93,75.03
117,77.52
89,75.19
48,82.84
49,81.31
54,82.55
61,87.63
64,80.93
234,81.73
161,76.65
47,72.95
159,75.47
36,75.03
33,81.47
39,70.51
37,81.74
184,73.51
86,75.88
28,76.94
49,81.69
24,78.11
42,77.1
75,76.78
43,78.22
37,83.32
26,80.81
24,79.04
27,73.14
47,70.69
56,80.32
22,74.38
34,79.73
27,72.61
51,73.23
25,80.09
43,74.52
44,75.93
40,71.08
22,78.7
28,76.43
37,73.72
38,75.49
107,74.11
97,77.87
61,75.82
57,79.07
49,73.22
47,80.6
40,75.39
89,74.39
68,72.99
62,73.88
79,74.36
116,73.41
206,71.1
97,78.32
90,73.48
126,74.52
153,75.94
102,76.81
330,73.06
194,74.21
92,75.53
51,80.85
105,71.29
140,76.89
123,71.86
112,74.07
319,74.8
94,74.51
62,74.75
41,71.85
33,77.76
27,70.26
73,76.63
114,72.2
24,78.49
65,76.23
236,80.07
145,78.41
44,74.91
28,78.5
38,81.71
69,71.98
115,78.31
81,73.39
44,76.24
39,70.51
43,74.86
55,72.91
157,73.98
182,79.14
134,81.13
113,77.89
99,76.9
66,70.3
51,75.09
224,72.41
410,74.55
74,76.46
46,75.25
43,73.31
41,75.05
139,72.87
217,74.38
160,76.78
55,81.06
47,79.04
92,80.59
83,79.91
156,71.92
76,75.84
59,77.87
61,83.32
299,71.92
132,70.63
353,74.93
271,71.01
109,74.09
108,76.88
250,71.26
183,72.86
163,74.06
44,75.5
95,74.13
92,77.62
319,81.51
84,83.86
55,83.83
175,89.94
538,68.88
89,73.48
136,72.3
184,79.52
176,75.98
64,72.85
53,71.09
65,67.35
127,72.9
284,76.43
673,68.3
469,75.65
479,74.34
393,77.32
147,75.05
95,73.57
129,75.05
275,72.75
159,74.75
147,77.25
133,74.47
260,71.59
401,75.4
150,72.47
101,73.88
39,76.24
35,74.75
45,70.78
34,75.49
36,73.58
47,73.19
165,75.95
337,72.05
240,75.05
147,75.2
53,75.21
44,75.88
39,77.2
35,80.25
36,83.26
31,73.65
43,83.67
31,83.22
22,78.05
19,78.84
29,81.31
31,81.5
29,75.2
85,76.34
38,72.22
44,79.39
52,74.02
31,81.69
65,73.07
104,76.02
40,74.9
24,72.6
28,76.24
38,77.6
295,74.29
302,75.51
225,76.42
64,81.02
59,78.03
46,75.5
121,76.26
94,71.54
170,74.06
61,74.02
46,77.74
114,70.68
138,71.58
67,75.43
32,77.15
30,74.87
21,76.78
65,74.76
404,73.11
588,69.51
311,72.59
98,73.61
81,75.21
36,79.72
31,70.73
72,76.65
276,74.0
98,77.96
163,78.52
163,76.81
60,79.98
184,72.23
111,72.61
160,73.84
93,76.19
59,77.04
96,74.95
98,74.34
92,78.4
69,76.97
55,74.83
60,77.53
48,78.3
100,75.0
403,68.78
76,75.08
210,72.45
551,74.9
347,74.89
456,70.86
441,73.42
269,73.75
237,70.68
42,77.56
30,72.93
28,74.06
25,77.71
22,79.45
25,72.84
116,71.46
123,76.94
63,75.89
32,81.76
43,76.86
147,70.7
147,73.96
163,71.0
50,74.06
36,76.62
29,80.3
34,75.41
45,76.84
89,78.5
37,77.28
22,81.92
23,79.44
114,71.63
74,75.44
29,70.79
31,76.48
96,71.51
187,76.93
237,70.36
208,75.15
64,76.18
47,74.77
23,75.42
21,78.24
24,81.21
27,71.73
45,71.78
22,77.68
24,72.5
66,74.43
142,71.13
138,76.96
194,73.21
158,71.6
75,77.06
41,76.5
38,79.27
42,75.51
32,69.89
52,71.16
61,76.68
156,75.54
73,77.16
76,78.8
70,75.39
40,73.02
42,74.06
36,81.62
30,75.14
40,69.73
59,78.05
40,75.66
38,83.82
25,71.97
28,80.88
45,75.29
23,80.01
104,80.83
74,75.84
195,75.66
107,75.57
96,79.22
682,69.31
219,73.3
137,77.41
175,77.39
1006,75.51
42,82.18
33,84.26
37,83.65
33,76.97
38,82.57
150,80.1
395,80.25
540,66.85
152,72.45
168,84.27
119,77.98
47,81.32
110,77.49
101,73.06
56,74.04
245,74.35
54,76.26
190,79.82
276,74.86
140,77.15
47,80.36
228,77.73
90,77.18
137,76.37
96,77.47
36,79.71
146,73.18
112,76.76
34,79.55
41,81.54
29,81.12
38,74.76
26,75.46
39,70.59
357,78.0
391,72.27
186,89.93
32,86.05
62,78.75
88,77.51
139,77.77
243,71.74
253,77.12
189,74.35
172,73.36
389,74.5
431,73.01
200,77.04
279,74.29
259,72.07
127,78.28
53,71.87
70,75.47
107,79.92
129,71.12
165,78.1
149,79.85
159,86.8
337,70.99
487,73.42
532,72.17
428,70.28
160,79.5
203,70.21
203,78.53
48,75.31
42,87.03
86,86.08
207,80.03
315,73.61
601,76.18
438,73.54
403,71.84
386,73.3
162,75.26
137,74.26
474,78.02
847,71.71
810,72.23
797,74.84
827,78.03
546,71.75
366,72.97
153,80.28
82,79.81
102,89.24
59,70.0
47,86.96
43,89.41
64,84.42
55,82.61
65,78.5
49,72.8
49,74.22
41,72.61
36,74.08
31,74.6
40,84.43
39,75.85
34,81.66
30,86.42
64,77.3
120,81.2
84,78.95
96,72.16
180,76.99
41,74.98
53,77.21
123,74.09
85,80.47
44,74.0
31,71.72
24,70.01
22,81.16
20,71.79
23,72.17
28,73.22
115,74.15
25,78.09
22,79.2
40,73.15
40,72.01
65,73.0
40,73.09
73,69.6
64,71.13
50,72.17
38,75.02
38,75.48
42,71.88
45,77.06
75,76.53
33,78.92
59,82.62
36,84.37
98,71.23
218,71.06
56,73.53
59,70.07
69,75.56
139,75.67
51,74.99
187,74.72
99,74.31
63,78.13
87,79.47
57,72.42
28,75.81
30,75.33
44,78.78
145,72.98
241,79.78
48,82.98
48,78.49
54,84.1
59,75.81
134,74.59
96,77.68
28,75.21
74,81.02
40,81.8
135,79.89
454,73.92
125,75.35
66,80.71
65,79.49
230,76.31
268,76.57
