OMNIvalue,k
148,77.35
200,77.28
612,74.57
415,74.41
503,78.05
815,78.9
990,79.17
960,74.91
418,75.58
379,73.77
930,74.79
955,74.1
102,68.15
111,73.65
376,74.91
296,76.41
153,74.27
138,74.24
279,71.23
445,78.85
337,75.14
323,76.14
412,71.44
357,76.99
652,67.57
548,76.12
370,79.46
293,71.77
406,67.91
959,69.74
576,67.14
553,70.91
422,75.77
318,75.71
479,69.27
363,79.51
351,71.47
781,71.85
734,75.25
615,74.81
676,74.32
545,75.29
625,80.92
739,74.94
471,72.9
494,73.78
349,74.39
572,74.15
732,73.05
373,76.39
226,72.64
235,72.18
753,72.49
793,76.83
287,79.25
333,75.87
319,72.78
303,72.94
178,75.81
385,75.89
103,82.51
370,86.56
454,77.71
230,71.1
129,78.76
132,84.53
384,72.48
274,69.34
559,74.16
642,78.3
194,70.36
125,70.01
143,72.66
85,65.91
225,74.37
104,69.75
69,74.47
89,78.27
120,75.2
102,76.62
152,68.17
233,80.97
238,73.01
214,74.05
167,83.9
349,71.64
461,76.07
335,73.92
384,74.27
392,72.8
237,68.9
186,76.32
898,76.96
624,76.41
516,65.06
398,74.95
273,71.87
373,67.49
267,69.6
286,70.3
291,75.76
605,72.05
408,72.78
362,69.01
330,68.8
613,78.26
892,73.83
843,71.87
287,83.67
225,64.24
421,80.66
315,67.82
214,72.59
287,64.1
188,79.28
259,71.19
310,72.86
372,74.3
612,75.12
286,75.37
500,77.62
436,83.1
583,69.02
218,89.82
243,67.38
378,64.91
380,73.46
145,83.39
95,78.44
193,75.45
700,70.01
299,75.02
156,72.13
184,73.18
251,69.36
321,73.6
245,79.49
133,72.95
161,80.09
186,67.97
81,69.85
161,71.85
207,85.08
130,79.45
458,71.55
393,77.41
204,78.11
141,73.56
152,74.52
420,70.57
426,75.55
250,76.9
80,75.2
258,74.72
48,75.0
36,75.87
31,78.35
115,71.44
186,71.92
72,79.7
69,75.32
88,73.01
281,75.53
253,74.7
191,74.22
108,71.39
137,69.85
174,71.99
21,74.66
38,74.09
29,74.83
36,75.49
57,69.17
73,70.92
94,75.4
38,75.37
28,79.48
20,72.01
43,74.98
86,80.81
201,77.91
48,74.42
69,74.96
67,69.85
56,71.43
107,72.87
38,76.38
33,73.73
34,75.66
25,74.81
25,79.52
23,70.08
29,70.34
119,71.08
48,74.08
50,81.67
60,73.43
95,72.42
66,70.16
123,78.23
108,72.64
56,75.63
40,69.66
94,73.42
60,73.39
28,73.8
34,75.12
136,74.79
130,75.29
45,74.74
40,76.45
182,69.79
312,79.2
228,78.9
63,77.16
21,77.93
19,81.77
28,84.03
31,89.87
110,71.98
236,69.65
317,74.47
213,73.04
40,73.13
351,67.47
664,72.92
231,70.36
273,74.2
373,72.34
164,77.78
127,70.32
140,77.71
106,79.99
93,71.58
72,73.51
42,77.77
89,73.47
95,71.87
174,69.86
165,75.72
52,76.01
81,70.76
218,73.46
302,74.93
452,73.92
201,72.26
225,75.12
149,77.64
121,73.04
129,82.19
97,78.56
191,71.76
172,78.0
151,80.58
83,76.04
63,76.1
94,72.55
187,71.94
179,70.73
52,73.12
34,73.95
48,72.76
125,71.28
63,77.02
130,76.5
138,78.75
57,78.87
74,83.22
57,85.64
65,81.61
142,70.72
145,74.76
454,69.66
350,72.44
149,76.34
201,68.71
251,74.96
141,71.11
117,70.06
219,73.71
78,79.88
87,71.51
130,71.1
143,74.61
39,77.89
34,74.87
34,75.43
65,76.77
270,76.68
59,79.7
131,69.01
116,70.93
53,71.81
293,74.6
210,71.88
130,74.75
168,75.49
70,76.1
110,71.59
89,71.53
45,77.44
51,83.75
270,73.15
239,73.63
53,76.43
34,76.12
45,76.48
58,71.09
217,72.14
117,68.95
83,77.01
73,75.33
72,73.91
56,74.75
53,72.92
127,74.67
66,74.26
52,77.53
67,76.27
122,75.96
153,72.98
75,71.55
40,79.29
32,77.42
30,80.28
26,83.3
30,79.68
56,72.28
333,74.03
490,71.82
281,74.81
58,73.84
176,74.69
195,75.09
201,74.25
240,76.08
193,73.28
101,71.13
67,77.3
75,77.29
119,73.1
97,74.36
34,79.43
33,69.96
85,75.09
60,73.32
56,68.81
152,74.96
162,74.4
169,70.89
75,74.11
39,74.08
56,75.68
42,70.1
48,73.52
49,78.82
35,77.19
29,75.28
34,74.01
36,81.06
75,69.24
201,73.39
50,75.52
38,74.5
26,70.61
83,76.35
395,69.88
516,74.58
235,74.47
272,67.65
510,72.31
410,73.21
330,70.67
264,70.05
407,74.79
299,74.97
161,74.67
334,73.1
432,67.48
545,76.95
418,72.56
462,73.61
177,72.71
60,74.31
37,75.11
276,74.79
333,74.93
286,74.58
146,79.67
160,71.23
177,74.17
264,73.28
53,81.66
40,88.83
63,76.17
241,79.92
395,70.92
74,78.16
46,70.87
48,74.87
106,72.6
47,72.09
37,73.0
52,74.75
29,68.91
131,74.71
182,76.67
112,75.19
159,69.8
356,74.7
241,77.02
370,71.95
225,74.48
639,73.63
188,74.94
56,78.46
48,68.52
77,77.92
76,69.99
157,75.03
281,74.79
158,74.04
177,75.22
183,68.37
248,76.46
125,75.0
65,80.55
215,79.22
128,74.71
169,71.37
363,75.21
93,80.08
181,72.38
287,75.36
254,69.04
124,73.3
193,70.56
262,74.83
128,74.89
145,75.66
87,74.6
84,74.64
98,77.68
96,72.61
88,72.88
37,76.42
42,79.66
38,71.62
28,73.7
30,69.84
51,77.41
94,69.39
331,69.79
76,74.95
79,73.38
135,74.83
160,71.13
162,72.83
374,72.03
230,74.07
59,78.27
123,78.27
184,76.22
49,75.66
26,85.61
23,78.38
27,72.64
31,77.58
30,74.87
21,74.92
18,75.1
24,74.79
23,75.3
25,76.49
46,71.71
59,81.64
88,80.82
126,84.81
124,77.94
358,79.55
188,72.39
184,79.51
232,71.63
157,74.19
640,72.29
240,75.16
280,74.43
236,74.46
320,74.48
241,76.72
340,73.59
452,76.12
700,72.96
388,73.16
277,77.69
119,78.02
62,80.04
83,75.39
239,73.38
393,73.08
648,71.67
292,68.73
151,74.6
206,75.01
124,75.92
59,77.39
211,75.29
123,80.14
45,68.94
50,72.64
22,77.99
99,78.2
179,73.35
289,71.74
250,72.88
308,70.09
294,75.67
244,72.9
167,69.63
304,74.41
244,74.4
324,75.86
278,88.32
279,89.9
304,74.54
171,81.45
218,83.21
576,75.25
147,76.21
229,72.39
632,73.92
375,76.31
263,74.21
211,74.95
441,74.82
209,72.98
610,75.33
211,84.76
272,82.77
266,82.17
362,80.06
310,81.97
572,71.38
533,70.53
452,77.31
95,78.02
136,77.77
123,74.73
80,76.77
66,75.05
172,74.71
247,75.14
314,77.77
348,72.61
252,82.27
341,81.16
212,79.18
170,79.11
641,77.13
475,75.81
377,75.13
422,74.88
643,72.02
527,74.84
221,78.85
212,74.51
205,76.45
120,83.19
188,80.66
140,77.49
228,80.87
213,81.93
525,70.91
695,69.7
1027,75.4
1085,75.06
626,72.74
338,73.35
369,75.02
659,73.69
335,80.75
326,85.61
217,83.84
265,74.29
272,76.71
413,79.89
348,78.71
99,77.64
139,73.83
65,74.36
64,74.52
444,75.78
150,71.2
58,70.9
77,69.19
63,76.53
58,81.51
37,73.21
67,79.88
102,75.91
141,79.88
164,77.96
455,73.92
406,77.95
289,79.42
552,73.5
648,74.92
694,75.81
981,72.55
538,77.3
496,69.94
474,75.14
73,84.75
59,85.52
101,77.87
38,74.25
44,81.04
56,77.5
58,76.07
111,74.54
322,70.98
187,73.33
705,69.28
712,75.18
616,73.66
847,72.93
524,78.82
629,74.13
817,71.24
389,74.42
297,81.29
619,75.37
752,69.98
1118,66.53
1149,71.6
590,72.16
598,73.82
569,75.3
536,68.32
510,71.28
379,72.44
227,77.77
184,77.17
262,77.84
171,82.88
345,78.79
616,75.13
459,76.63
345,69.55
322,73.92
175,69.58
107,72.21
69,70.14
50,72.74
196,71.89
53,75.52
51,75.94
171,75.04
149,78.14
82,77.77
79,79.37
66,79.43
110,76.93
179,75.12
190,73.4
309,72.5
277,71.81
99,73.98
536,72.08
618,74.34
543,74.82
332,71.29
254,74.17
195,74.44
126,77.42
105,78.6
143,77.8
93,80.0
196,70.93
329,75.56
122,78.56
231,72.67
153,73.84
80,74.67
55,74.3
70,71.06
112,71.25
61,75.31
84,73.91
309,70.57
281,72.73
159,72.96
169,73.87
48,73.47
51,73.02
195,79.2
115,77.63
261,70.17
138,75.84
275,68.92
129,74.2
60,74.41
65,73.3
148,71.95
210,72.95
192,71.99
284,74.5
321,73.42
241,72.14
150,74.05
90,75.95
180,81.37
181,78.93
84,85.65
141,80.0
197,74.78
114,74.66
143,68.03
249,73.98
60,74.81
87,72.21
59,70.34
53,73.88
208,72.76
320,72.32
144,71.55
126,78.36
75,85.78
88,80.79
96,80.48
98,72.08
119,81.66
471,78.03
420,74.34
472,73.93
735,74.04
578,71.52
606,74.27
522,72.57
491,69.7
543,71.52
345,76.66
589,78.31
307,72.81
223,75.75
276,76.22
293,73.12
180,73.79
269,72.84
292,72.89
300,76.29
348,73.3
310,73.19
124,73.69
258,71.2
267,73.08
252,74.27
277,71.2
196,73.81
64,78.49
68,76.92
57,75.21
58,84.12
129,77.73
241,74.13
82,79.65
52,78.4
67,73.78
58,69.99
192,73.42
226,72.17
105,74.24
96,73.01
427,70.44
483,73.6
257,69.72
503,78.26
307,74.55
450,74.27
360,70.41
441,75.28
444,71.1
206,77.55
237,77.5
527,70.11
772,78.71
734,72.65
617,74.9
746,73.98
807,72.1
709,69.32
656,71.31
568,72.64
361,75.02
316,71.26
386,70.93
540,72.49
651,75.63
565,68.8
850,73.6
606,79.53
654,81.21
196,74.43
154,83.37
206,71.95
317,76.38
672,69.4
890,74.52
420,75.41
255,68.37
910,66.69
139,74.8
135,73.71
223,70.52
536,72.29
232,75.02
699,77.41
459,77.37
222,82.55
386,71.27
352,73.11
242,79.74
197,85.83
175,81.27
416,71.14
357,79.25
51,76.77
63,73.62
103,72.64
75,74.4
86,74.17
167,74.74
233,73.31
222,73.08
196,74.59
76,79.43
38,83.92
80,80.73
203,78.07
121,72.7
126,74.74
364,75.88
57,72.88
64,75.71
131,75.39
133,78.81
240,80.89
429,74.92
287,74.71
103,80.86
76,73.44
84,83.86
327,74.04
303,75.51
101,75.65
62,74.93
50,74.43
109,73.48
55,74.76
38,74.98
58,73.88
46,79.79
230,75.49
359,68.65
256,74.01
441,75.88
370,71.42
304,75.86
316,70.56
137,74.28
125,81.66
352,73.76
380,75.61
133,71.77
128,78.7
549,68.61
457,74.3
346,72.53
560,70.68
202,75.25
65,78.17
57,82.69
63,80.66
115,71.08
89,76.33
83,80.35
62,81.83
81,71.77
59,82.23
97,76.37
64,78.13
137,74.71
209,75.39
291,78.51
261,70.26
449,73.66
353,73.49
133,75.18
59,75.05
119,72.78
104,74.81
202,80.58
46,83.71
38,87.23
47,74.64
101,80.52
231,69.93
165,81.73
72,82.41
56,76.06
